vp_ha,FP_ha,vp_d2,FP_d2,vp_d4,FP_d4,vp_c4,FP_c4,vp_s2,FP_s2,vp_s4,FP_s4
0.3922,0.703699380783835,0.3922,0.720191600791263,0.3922,0.612316110989003,0.3922,0.580356371408433,0.3922,0.720191600791263,0.3922,0.653013089183802
0.402,0.694294315808956,0.402,0.710255962482518,0.402,0.60555448587348,0.402,0.574380467505795,0.402,0.710255962482518,0.402,0.644994410289247
0.4118,0.6850793156116,0.4118,0.700567579605943,0.4118,0.598858960657516,0.4118,0.568476325859197,0.4118,0.700567579605943,0.4118,0.637285614113489
0.4216,0.676095132310838,0.4216,0.691126998999324,0.4216,0.592356918496292,0.4216,0.562716046879729,0.4216,0.691126998999324,0.4216,0.629707776456737
0.4314,0.667277389417088,0.4314,0.681960420028852,0.4314,0.585971355961467,0.4314,0.557258825157782,0.4314,0.681960420028852,0.4314,0.622363582659469
0.4412,0.658796065168018,0.4412,0.672887207577153,0.4412,0.579865979453933,0.4412,0.551973392773016,0.4412,0.672887207577153,0.4412,0.61527946729294
0.451,0.650556378844989,0.451,0.664147354791845,0.451,0.573840282466061,0.451,0.546752596827386,0.451,0.664147354791845,0.451,0.608228057796305
0.4608,0.642397801095352,0.4608,0.655571000373136,0.4608,0.567800698980505,0.4608,0.541651119339235,0.4608,0.655571000373136,0.4608,0.601473134901597
0.4706,0.634481401458122,0.4706,0.647191786638056,0.4706,0.562162949025021,0.4706,0.536769136003817,0.4706,0.647191786638056,0.4706,0.594840634953155
0.4804,0.62673609957072,0.4804,0.638998974991658,0.4804,0.556532999020193,0.4804,0.532068403021049,0.4804,0.638998974991658,0.4804,0.588248432242428
0.4902,0.619181208317759,0.4902,0.63106109788646,0.4902,0.551070540942863,0.4902,0.527565199714085,0.4902,0.63106109788646,0.4902,0.581841789459188
0.5,0.611879012502249,0.5,0.623277398248572,0.5,0.545667953428121,0.5,0.523142941813622,0.5,0.623277398248572,0.5,0.57574012508719
0.5098,0.604689297933506,0.5098,0.615682673556257,0.5098,0.540425048242886,0.5098,0.518553237030614,0.5098,0.615682673556257,0.5098,0.569783286952901
0.5196,0.597690891007484,0.5196,0.608282185774991,0.5196,0.535454113423414,0.5196,0.514226143429981,0.5196,0.608282185774991,0.5196,0.563955562446662
