vp_J1,FP_J1,vp_J2,FP_J2,vp_J3,FP_J3,vp_J4,FP_J4,vp_J5,FP_J5
0.5882,0.532931896327545,0.5882,0.560961599583923,0.5882,0.56730676991534,0.5882,0.568136611863966,0.5882,0.548978589384264
0.598,0.528090773168734,0.598,0.554836602128381,0.598,0.560903985261011,0.598,0.561703527465988,0.598,0.543850892231991
0.6078,0.523267142858756,0.6078,0.548828881309856,0.6078,0.554622664621005,0.6078,0.555424220768884,0.6078,0.538774431939416
0.6176,0.518558033332812,0.6176,0.54292263635897,0.6176,0.548458017039152,0.6176,0.549290556149518,0.6176,0.533762474136603
0.6274,0.513982765659307,0.6274,0.537199474804983,0.6274,0.542444804872397,0.6274,0.543248044310571,0.6274,0.528798561230457
0.6372,0.509405349735873,0.6372,0.531526086453722,0.6372,0.536564238069574,0.6372,0.537347562638691,0.6372,0.523911037021359
0.647,0.504944534471486,0.647,0.52598496896045,0.647,0.530835640351199,0.647,0.531584387225127,0.647,0.519028312126031
0.6568,0.500532460908406,0.6568,0.520548296018388,0.6568,0.525211330426673,0.6568,0.525956135464884,0.6568,0.514203581466519
0.6666,0.49622876105354,0.6666,0.515246444607223,0.6666,0.519683693006584,0.6666,0.520401421101628,0.6666,0.509491954056958
0.6764,0.492006974971547,0.6764,0.510045838510614,0.6764,0.51429347088367,0.6764,0.514990968038341,0.6764,0.504837581313759
0.6862,0.487757054337563,0.6862,0.505003171533473,0.6862,0.50899496480321,0.6862,0.509693322010855,0.6862,0.500133266390216
0.696,0.483567796766102,0.696,0.499974444473975,0.696,0.503820040030176,0.696,0.504513105895967,0.696,0.495650449470592
0.7058,0.479477774248436,0.7058,0.495080613997641,0.7058,0.498716286070945,0.7058,0.499375845946236,0.7058,0.491190020009347
0.7156,0.475465902560437,0.7156,0.490293488076859,0.7156,0.493731565636845,0.7156,0.494382337452218,0.7156,0.486803348771643
0.7254,0.47149411846317,0.7254,0.485591969001774,0.7254,0.488852332299398,0.7254,0.489468729251108,0.7254,0.482474308535413
0.7352,0.467612221714281,0.7352,0.480930303737814,0.7352,0.484075395883323,0.7352,0.484660073025783,0.7352,0.478167802339886
0.745,0.463860254340829,0.745,0.476421901981465,0.745,0.479401578412691,0.745,0.479943514347705,0.745,0.473865673700179
0.7548,0.460140126433046,0.7548,0.471994907290767,0.7548,0.474808590677342,0.7548,0.475324015932025,0.7548,0.469667800730442
0.7646,0.456410910746015,0.7646,0.467677400556469,0.7646,0.470299773184764,0.7646,0.470773971285305,0.7646,0.465536843668884
0.7744,0.452704932718512,0.7744,0.463413392175168,0.7744,0.465859477401529,0.7744,0.466330966458268,0.7744,0.461482172998765
0.7842,0.449083162580108,0.7842,0.459154645452796,0.7842,0.461538030494627,0.7842,0.461973241086121,0.7842,0.457456763788984
0.794,0.445565400149118,0.794,0.455058268934397,0.794,0.45725803915184,0.794,0.457683562406686,0.794,0.453489383194792
0.8038,0.442132213199328,0.8038,0.451004216996641,0.8038,0.453082476097271,0.8038,0.453469171573667,0.8038,0.449587555369844
0.8136,0.438723136166976,0.8136,0.447016723343144,0.8136,0.448993894191402,0.8136,0.449329777209702,0.8136,0.445771232799612
0.8234,0.435389665872195,0.8234,0.443113729369969,0.8234,0.444980887709673,0.8234,0.445270495120745,0.8234,0.441940909295319
